review_id,review_text,sentiment,predicted_sentiment,predicted_score
27127293,Pra mim nenhum! Não tenho o que reclamar da empresa pelo contrário só tenho a falar bem dela. Ela dá bastante oportunidade pro mesmo crescer,-1,1,0.7137166261672974
82096525,Aprendizado e valores do empregado,-1,1,0.9882120490074158
29957917,Pouca preocupação com o bem estar do colaborador,-1,0,0.970478892326355
81184895,Ao meu ver nada em excepcional…,-1,1,0.9867299795150756
69255630,o salário é abaixo da média,-1,0,0.8228965401649475
48102812,Não há plano de carreira,-1,1,0.985243558883667
68285230,Não existe o trabalho hibrido.,-1,1,0.9882481694221495
68285049,Não possui sistema híbrido/home office,-1,1,0.9825929403305054
27004639,.......não tenho muito a falar sobre pontos negativo da impresa. Só sei que gostaria muito de trabalhar na Maggi queria somente uma oportunidade,-1,1,0.9866631627082824
83091562,Não tenho o que reclamar,-1,-1,0.8807059526443481
26747702,"Não tenho nada a falar de negativo da empresa, até no momento estou satisfeito, só em relação a pó que é muito",-1,-1,0.8829727172851562
75947796,Não vejo um contra. Empresa boa.,-1,0,0.9836766719818116
26883342,"algumas fazendas ficam longe de grandes polos e com isso acabasse ""preso"" a fazenda e a possibilidade de fazer uma viagem a esses lugares fica dificil",-1,0,0.593053936958313
68399493,Algumas áreas ainda não tem voz,-1,1,0.794975221157074
26749104,empresa que qualifica o colaborador e não coloca o mesmo em um cargo melhor prefere contratar uma pessoas de fora muitas das vezes sem nenhuma qualificação e não da oportunidade para o quem esta na empresa.,-1,-1,0.7882059812545776
68294712,"Não se aplica, embora a empresa se mantém em constante processo de melhoria.",-1,1,0.964712142944336
82444746,"Acredito que o tempo das realizáveis pode
Melhorar.",-1,0,0.9133758544921876
27314314,"Beneficios ruins pessoas despreparadas mais no geral e uma boa empresa tem.somente que melhorar estes aspectos e ser menos burocratica, somente",-1,0,0.7089018225669861
76162474,"Pelo setor e região, priva um pouco a vida social, por ter que morar em fazendas distantes da cidade.",-1,1,0.969691812992096
59876766,"A empresa não te dá a mínima infraestrutura para você trabalhar

A empresa não dá a mínima para a diversidade e inclusão

A empresa não reconhece quando alguém se empenha

A empresa não auxilia em nada em relação ao aperfeiçoamento de profissionais.



Além disso, tem toda a questão burocrática de órgãos e secretarias do governo que te impedem de fazer inovação e a adoção de qualquer tecnologia atual é impossível de ser feita sem aborrecimentos.",-1,0,0.9081477522850036
